,filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/108_3.jpg,"(72, 17)","(77, 43)","(63, 44)","(47, 71)","(None, None)","(89, 47)","(64, 72)","(53, 79)","(52, 90)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(68, 15)","(78, 15)","(None, None)","(87, 20)"
1,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/301_5.jpg,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
2,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/102_1.jpg,"(37, 21)","(52, 39)","(None, None)","(None, None)","(None, None)","(63, 40)","(76, 65)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(40, 15)","(None, None)","(50, 16)"
3,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/61_3.jpg,"(60, 20)","(54, 69)","(63, 69)","(48, 46)","(None, None)","(38, 62)","(95, 47)","(74, 59)","(58, 130)","(57, 192)","(None, None)","(34, 133)","(28, 186)","(None, None)","(59, 18)","(62, 15)","(None, None)","(70, 11)"
4,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/401_0.jpg,"(78, 67)","(102, 98)","(65, 87)","(41, 165)","(23, 235)","(128, 76)","(147, 105)","(None, None)","(114, 161)","(96, 228)","(None, None)","(None, None)","(None, None)","(None, None)","(74, 60)","(88, 56)","(None, None)","(108, 52)"
5,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/442_1.jpg,"(106, 63)","(91, 133)","(None, None)","(None, None)","(None, None)","(145, 144)","(162, 204)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(101, 54)","(113, 57)","(71, 57)","(None, None)"
6,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/409_8.jpg,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
7,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/380_0.jpg,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
8,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/5_1.jpg,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
9,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/86_5.jpg,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)"
10,/home/prth/Desktop/pose_estimate/tf-pose-estimation/images/crops/365_3.jpg,"(66, 19)","(52, 22)","(44, 18)","(None, None)","(None, None)","(62, 24)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(64, 15)","(66, 16)","(53, 12)","(None, None)"
